"","X","contributions","between_centrality","loc","member","org"
"4786","kant",4,0.000319592611754417,"Planet Earth...","False","facebook"
"4787","kantord",1,0,"Barcelona","False","facebook"
"4788","kapitan-k",3,0,"Munich, Germany","False","facebook"
"4789","karanjthakkar",8,0.000788555132503512,"London","False","facebook"
"4790","karczk",2,0,"[]","False","facebook"
"4791","karelbilek",20,0,"Ho Chi Minh City, Vietnam","False","facebook"
"4792","karen",5,0,"","False","facebook"
"4793","karlhorky",4,8.4359341469189e-05,"Vienna","False","facebook"
"4794","kartast",1,0,"[]","False","facebook"
"4795","kasittig",2,0,"Cambridge, MA","False","facebook"
"4796","kasperp",1,0,"Copenhagen ","False","facebook"
"4797","kassens",1506,0.0206279488532749,"San Francisco, CA","True","facebook"
"4798","kastiglione",133,0.00164583581639275,"Menlo Park, CA","False","facebook"
"4799","katelyn-weingart",8,0,"[]","False","facebook"
"4800","katiejots",103,0.000604237813588157,"London","False","facebook"
"4801","katsuyoshi",14,0,"[]","False","facebook"
"4802","kaustubh-karkare",1,0,"","True","facebook"
"4803","kavon",4,0,"[]","False","facebook"
"4804","kavoor",83,7.53633915705981e-05,"","False","facebook"
"4805","kawmarco",12,2.47348271829823e-05,"","False","facebook"
"4806","kayaman",1,0,"Sao Paulo, Brazil","False","facebook"
"4807","kayceesrk",13,0,"Chennai, India","False","facebook"
"4808","kayhadrin",159,4.78786406035726e-05,"AU-US in betweener","False","facebook"
"4809","kaylangan",2,0,"","False","facebook"
"4810","kayliecodes",1,0,"","False","facebook"
"4811","kazu-yamamoto",18,1.72658503906034e-05,"Tokyo, JAPAN","False","facebook"
"4812","kboortz",159,0.000102832630436096,"Sweden","False","facebook"
"4813","kcbraunschweig",9,1.28618747132922e-05,"","False","facebook"
"4814","kcharwood",30,0.000205739507317515,"Austin, TX","False","facebook"
"4815","kchia",4,0,"[]","False","facebook"
"4816","kcoons",19,0.000164454133249978,"","False","facebook"
"4817","kcsongor",2,0,"[]","False","facebook"
"4818","kdbcinco",1,0,"Ilocos Sur, Philippines","False","facebook"
"4819","kdemoya",1,0,"Dominican Republic","False","facebook"
"4820","kdex",1,0,"","False","facebook"
"4821","kdjakevin",180,0.000102832630436096,"","False","facebook"
"4822","kdnakt",2,0,"Tokyo","False","facebook"
"4823","keerthikorrapati",1,0,"","False","facebook"
"4824","keith",8171,0.00098699269243555,"San Francisco, CA","False","facebook"
"4825","keithamus",3,0,"London, England","False","facebook"
"4826","kellyrmilligan",2,0,"[]","False","facebook"
"4827","kelnei",5,0,"Covington, WA","False","facebook"
"4828","kelp404",16,0,"[]","False","facebook"
"4829","kelset",11,0,"[]","False","facebook"
"4830","kemitchell",1,0,"[]","False","facebook"
"4831","kenjim83",1,0,"San Jose, CA","False","facebook"
"4832","kenkyee",1,0,"Boston, MA","False","facebook"
"4833","kennethormandy",1,0,"[]","False","facebook"
"4834","kenning",1,0,"","False","facebook"
"4835","kennyhorror",1,0,"[]","False","facebook"
"4836","kennyyu",15,6.41516292102126e-05,"[]","False","facebook"
"4837","kenrick95",3,0,"Singapore","False","facebook"
"4838","kent-williams",1,0,"San Francisco Bay","False","facebook"
"4839","kentaromiura",39,0,"Tokyo","False","facebook"
"4840","kentcdodds",17,0.000338227496995634,"Salt Lake City, Utah, USA","False","facebook"
"4841","kernandreas",1,0,"Cologne, Germany","False","facebook"
"4842","kernel-patches-bot",5,0,"","False","facebook"
"4843","kernelslacker",10,0,"[]","False","facebook"
"4844","kerolloz",2,0,"[]","False","facebook"
"4845","kertong",1,0,"","False","facebook"
"4846","kesha-antonov",1,0,"Saint-Petersburg","False","facebook"
"4847","kettenis",18,0,"","False","facebook"
"4848","keveryang",489,0,"Fuzhou","False","facebook"
"4849","kevin-hirsch",17,0,"[]","False","facebook"
"4850","kevin-vigor",6,0.000178554288467889,"","False","facebook"
"4851","kevin0571",244,2.51584032280856e-05,"London, United Kingdom","True","facebook"
"4852","kevin940726",2,0,"Taipei - Taiwan","False","facebook"
"4853","kevinSuttle",3,0,"Cincinnati, OH","False","facebook"
"4854","kevinbchen",7,4.22726232996655e-05,"","False","facebook"
"4855","kevinbryant",3,0,"[]","False","facebook"
"4856","kevindelord",20,0,"[]","False","facebook"
"4857","kevinji",1,0,"[]","False","facebook"
"4858","kevinold",2,0,"[]","False","facebook"
"4859","kevinqz",2,0,"São Paulo, Brazil","False","facebook"
"4860","kevinrenskers",159,0,"Groningen, The Netherlands","False","facebook"
"4861","kevinsawicki",2,0.00164951658948005,"Sammamish, WA","False","facebook"
"4862","kevinxucs",16,0,"[]","False","facebook"
"4863","kevinzwhuang",2,0,"[]","False","facebook"
"4864","kevpie",1,0,"Vancouver, BC","False","facebook"
"4865","keyan",6,0,"[]","False","facebook"
"4866","keykoo",1,0,"[]","False","facebook"
"4867","keyurdg",4,0,"[]","False","facebook"
"4868","keyz",41,0.000490202906079645,"Menlo Park, CA","False","facebook"
"4869","kfarst",1,0,"Menlo Park, CA","False","facebook"
"4870","kfirapps",356,0.00016060202345338,"London","False","facebook"
"4871","kgardas",95,0,"[]","False","facebook"
"4872","kgn",25,0,"[]","False","facebook"
"4873","kgoger",22,0,"","False","facebook"
"4874","khattakdev",1,0,"Pakistan","False","facebook"
"4875","kheimerl",1,0,"","False","facebook"
"4876","khenny-ship-it",1,0,"","False","facebook"
"4877","khp",4,4.17137352882094e-05,"Seattle, WA","False","facebook"
"4878","khuyn003",2,0,"Los Angeles","False","facebook"
"4879","khwilson",1,0,"New York, NY","False","facebook"
"4880","khyperia",2,0,"[]","False","facebook"
"4881","kibotu",1,0,"Berlin","False","facebook"
"4882","kidlj",2,0,"Beijing, China","False","facebook"
"4883","kidonng",2,0,"[]","False","facebook"
"4884","kiefermat",4,0,"[]","False","facebook"
"4885","kikisaints",3,0,"[]","False","facebook"
"4886","kikuchy",1,0,"[]","False","facebook"
"4887","kilink",3,3.20385043741955e-05,"[]","False","facebook"
"4888","kilobyte",1,0,"[]","False","facebook"
"4889","kimar",13,0,"[]","False","facebook"
"4890","kimhunter",1,0,"","False","facebook"
"4891","kimjoar",1,0,"Oslo, Norway","False","facebook"
"4892","kimphill",198,0,"","False","facebook"
"4893","kingargyle",2,0,"[]","False","facebook"
"4894","kingdaro",1,0,"[]","False","facebook"
"4895","kingo55",1,0,"Melbourne, Australia","False","facebook"
"4896","kireerik",1,0,"[]","False","facebook"
"4897","kirkshoop",17,0,"[]","False","facebook"
"4898","kirusick",1,0,"Minsk, Belarus","False","facebook"
"4899","kirwan",189,0,"London","False","facebook"
"4900","kishikawakatsumi",58,0,"Tokyo","False","facebook"
"4901","kishon",83,0,"","False","facebook"
"4902","kit-ty-kate",1,0,"Glasgow, Scotland","False","facebook"
"4903","kittens",2,0,"","False","facebook"
"4904","kjweng",4,0,"","False","facebook"
"4905","kkashin",48,0.000119985715580991,"New York, NY","False","facebook"
"4906","kkd927",1,0,"[]","False","facebook"
"4907","kkondaka",42,1.1899758377365e-05,"","False","facebook"
"4908","kkpoon",1,0,"Hong Kong","False","facebook"
"4909","kl3ryk",6,0,"","False","facebook"
"4910","klaaspieter",15,0.00017131404197463,"[]","False","facebook"
"4911","klaussilveira",4,0,"[]","False","facebook"
"4912","klzns",1,0,"Rio de Janeiro, Brazil","False","facebook"
"4913","kmagiera",117,0.000167946560303496,"Kraków, Poland","False","facebook"
"4914","kmancini",9,4.75784315270159e-05,"","False","facebook"
"4915","kmaslack",5,0,"[]","False","facebook"
"4916","kmeht",382,0.00160195112076676,"San Francisco","True","facebook"
"4917","kmonian",4,3.27639725063859e-05,"[]","False","facebook"
"4918","knekritz",150,0.00133340375039172,"","False","facebook"
"4919","knowbody",5,0.000344801021495607,"London","False","facebook"
"4920","knyar",1,0,"[]","False","facebook"
"4921","ko-zu",2,0,"[]","False","facebook"
"4922","koba04",67,6.54688309388953e-05,"[]","False","facebook"
"4923","kobykahane",2,0,"","False","facebook"
"4924","koconder",3,0,"[]","False","facebook"
"4925","kodafb",232,0.000498416501174892,"","False","facebook"
"4926","koddsson",1,0,"London, UK","False","facebook"
"4927","koenkooi",18,0,"","False","facebook"
"4928","koenpunt",10,0.000212034082372949,"Utrecht NL","False","facebook"
"4929","kohei-takata",39,0,"[]","False","facebook"
"4930","koistya",5,0.00032222926078108,"[]","False","facebook"
"4931","kojiashida",1,0,"[]","False","facebook"
"4932","koke",1,0,"Zaragoza, Spain","False","facebook"
"4933","kokes",1,0,"Prague, Czech Republic","False","facebook"
"4934","koldat",20,0,"","False","facebook"
"4935","kolinkrewinkel",14,0.0001641913569675,"Livermore, California","False","facebook"
"4936","kolmodin",7,1.72658503906034e-05,"Stockholm, Sweden","False","facebook"
"4937","kommen",19,0,"[]","False","facebook"
"4938","kongxinzhu",86,0.000692984739102954,"","False","facebook"
"4939","konstikloster",1,0,"","False","facebook"
"4940","kookiekrak",1,0,"[]","False","facebook"
"4941","kopiro",1,0,"[]","False","facebook"
"4942","korDen",118,7.39764745055596e-05,"Russia","False","facebook"
"4943","korli",1,0,"[]","False","facebook"
"4944","korniltsev",4,0.00167917975700367,"[]","False","facebook"
"4945","kornrunner",2,1.31794778305312e-05,"Belgrade, Serbia","False","facebook"
"4946","korovkin",6,4.26265235713344e-05,"San Mateo, Ca","False","facebook"
"4947","kosievdmerwe",12,0,"","False","facebook"
"4948","kosmikus",1,0,"[]","False","facebook"
"4949","kossnocorp",1,0,"✈️","False","facebook"
"4950","kostadriano",1,0,"[]","False","facebook"
"4951","kostapr",64,0,"Israel","False","facebook"
"4952","kostmo",3,0.000659143223599418,"","False","facebook"
"4953","kotakanbe",1,0,"Tokyo","False","facebook"
"4954","kovpas",1,0,"[]","False","facebook"
"4955","kowey",1,0,"[]","False","facebook"
"4956","kparentfb",1,0,"[]","False","facebook"
"4957","kpdecker",3,0,"[]","False","facebook"
"4958","kphfb",2,0,"[]","False","facebook"
"4959","kpman",2,0,"Taiwan","False","facebook"
"4960","kpsroka",2,0,"Wrocław, Poland","False","facebook"
"4961","kraai",2,0,"[]","False","facebook"
"4962","krab",2,0,"[]","False","facebook"
"4963","kradhakrishnan",101,0.000221294643549811,"Pleasanton CA","False","facebook"
"4964","krallin",10,4.78405754027971e-05,"London, UK","False","facebook"
"4965","krangelov",77,0,"[]","False","facebook"
"4966","kreeger",32,0,"Liberty, Missouri","False","facebook"
"4967","kren1",40,0,"","False","facebook"
"4968","kriegfrj",2,0,"[]","False","facebook"
"4969","kripod",7,0.000950750160337064,"Budapest, Hungary","False","facebook"
"4970","krishnagoth",2,0,"","False","facebook"
"4971","kriskowal",1,0,"[]","False","facebook"
"4972","kristapsk",8,0,"[]","False","facebook"
"4973","krschultz",8,0,"NYC","False","facebook"
"4974","kruppel",1,0,"","False","facebook"
"4975","kryali",3,0,"[]","False","facebook"
"4976","krzk",20,0,"Switzerland","False","facebook"
"4977","krzkowalczyk",2,0,"","False","facebook"
"4978","kshithijiyer",2,8.2667626747282e-05,"India","False","facebook"
"4979","kshlm",111,0,"[]","False","facebook"
"4980","kstolte",1,0,"[]","False","facebook"
"4981","kstreee",3,0,"Seoul, Korea","False","facebook"
"4982","kthai",10,0,"","False","facebook"
"4983","kublermdk",1,0,"[]","False","facebook"
"4984","kuganv",36,4.09885448971754e-05,"London","False","facebook"
"4985","kukuhyoniatmoko",1,0,"","False","facebook"
"4986","kuldipem",1,0,"[]","False","facebook"
"4987","kulshrax",2,0.000174195800612156,"San Francisco Bay Area","True","facebook"
"4988","kumagi",2,0,"[]","False","facebook"
"4989","kumar-shridhar",2,0,"Zürich, Switzerland","False","facebook"
"4990","kumargala",661,0,"","False","facebook"
"4991","kunny",1,0,"Seoul, Korea","False","facebook"
"4992","kunukn",3,0,"[]","False","facebook"
"4993","kuraga",2,0,"[]","False","facebook"
"4994","kurtsergey",1,0,"","False","facebook"
"4995","kurumpa",1,0,"[]","False","facebook"
"4996","kushal",4,0,"","False","facebook"
"4997","kusold",2,0,"Denver","False","facebook"
"4998","kutschenator",2,0,"","False","facebook"
"4999","kuu",1,0,"Tokyo - Japan","False","facebook"
"5000","kvchen",1,0,"Menlo Park","False","facebook"
"5001","kvtsoy",26,0,"[]","False","facebook"
"5002","kvudata",1,0,"[]","False","facebook"
"5003","kwedde",6,0,"","False","facebook"
"5004","kwihafb",1,0,"","False","facebook"
"5005","kwlzn",5,0.000186417149699205,"Santa Cruz, CA","False","facebook"
"5006","kwonoj",2,0,"Bay Area","False","facebook"
"5007","kyarik",2,0,"[]","False","facebook"
"5008","kyl191",1,0,"","False","facebook"
"5009","kylannjohnson",10,0,"","False","facebook"
"5010","kyldvs",68,0.000354545464795539,"","True","facebook"
"5011","kylebrowning",12,0,"[]","False","facebook"
"5012","kylef",241,0,"London, England","False","facebook"
"5013","kylefleming",64,0,"San Francisco, CA","False","facebook"
"5014","kyleshevlin",1,0,"Portland, Oregon","False","facebook"
"5015","kyulee-com",3,0,"[]","False","facebook"
"5016","l5t",1,0,"","False","facebook"
"5017","lachlanjc",1,0,"Keeps Changing","False","facebook"
"5018","lacker",27,0.000467167896125004,"Piedmont, CA","False","facebook"
"5019","lalania",1,0,"","False","facebook"
"5020","lalinsky",4,0,"Trenčín, Slovakia","False","facebook"
"5021","lamarqua",1,0,"Montréal, Québec","False","facebook"
"5022","lambdapioneer",137,1.34430329250734e-05,"Cambridge","False","facebook"
"5023","lamberta",1,0,"Mountain View, CA","False","facebook"
"5024","lamby",2,0.000339271056111015,"","False","facebook"
"5025","lamek",2,0,"","False","facebook"
"5026","lamhieu-vk",4,0,"Vietnam","False","facebook"
"5027","laminina",1,0,"[]","False","facebook"
"5028","lance5107B",1,0,"","False","facebook"
"5029","laneyk",1,0,"","False","facebook"
"5030","langston-barrett",2,0,"[]","False","facebook"
"5031","lantti",1,0,"[]","False","facebook"
"5032","lanxi",11,3.18257123050447e-06,"Madison, Wisconsin","False","facebook"
"5033","larabear",7,6.75396816416225e-05,"","False","facebook"
"5034","larrylin28",72,0,"[]","False","facebook"
"5035","larsacus",20,0,"[]","False","facebook"
"5036","larsonjj",2,2.98635987484283e-05,"Chicago","False","facebook"
"5037","larsville",1,0,"","False","facebook"
"5038","lasekio",2,0,"[]","False","facebook"
"5039","lashomb",3,1.37583164161292e-05,"","False","facebook"
"5040","last-g",2,0,"[]","False","facebook"
"5041","lastquestion",21,0,"[]","False","facebook"
"5042","latentflip",1,0,"Amsterdam","False","facebook"
"5043","latik",1,0,"Ukraine","False","facebook"
"5044","laud",1,0,"[]","False","facebook"
"5045","laughingguitarist",40,4.29169643459881e-05,"","False","facebook"
"5046","lauri-elevant",1,0,"[]","False","facebook"
"5047","lauriejones",1,0,"Newcastle, Australia","False","facebook"
"5048","laurynas-biveinis",2,0,"Vilnius","False","facebook"
"5049","lawcen",1,0,"[]","False","facebook"
"5050","lawrencelomax",3274,0.00138646266332489,"London, UK","True","facebook"
"5051","laysent",1,0,"[]","False","facebook"
"5052","lazaroclapp",21,0,"San Francisco, CA","False","facebook"
"5053","lazerwalker",14,0,"[]","False","facebook"
"5054","lazka",3,0,"[]","False","facebook"
"5055","lazywei",1,0,"","True","facebook"
"5056","lazywithclass",1,0,"Europe","False","facebook"
"5057","lbalbalba",2,0,"[]","False","facebook"
"5058","lbianc",17,0,"[]","False","facebook"
"5059","lbmeng",1258,0,"Beijing, China","False","facebook"
"5060","lbrandy",34,1.50144631911118e-05,"[]","False","facebook"
"5061","lcastelli",50,0,"[]","False","facebook"
"5062","lcelso",2,0,"[]","False","facebook"
"5063","lclarkmichalek",13,0,"[]","False","facebook"
"5064","ldemailly",211,0.000186754219286712,"California, USA","False","facebook"
"5065","ldobson",2,0,"[]","False","facebook"
"5066","ldts",20,0,"GMT+1","False","facebook"
"5067","ldv-alt",4,0,"[]","False","facebook"
"5068","ldworkin",93,0,"New York City","True","facebook"
"5069","lebedev",1,0,"Almaty, Kazakhstan","False","facebook"
"5070","lebentle",4,3.02077102075223e-05,"Vancouver, B.C.","False","facebook"
"5071","lebogangolifant",3,0.000463174014991307,"","False","facebook"
"5072","leebyron",302,0.00125662217196726,"San Francisco","False","facebook"
"5073","leeight",20,0,"Shanghai, China","False","facebook"
"5074","leekchan",1,0,"[]","False","facebook"
"5075","leepface",1,0,"London, UK","False","facebook"
"5076","leereilly",1,0,"San Francisco, CA","False","facebook"
"5077","leftaroundabout",3,0,"[]","False","facebook"
"5078","legoater",16,0,"Toulouse, France","False","facebook"
"5079","legrosbuffle",1,0,"[]","False","facebook"
"5080","lehecka",23,6.06110489667983e-05,"","True","facebook"
"5081","leikahing",4,0,"[]","False","facebook"
"5082","leilanon",1,0,"[]","False","facebook"
"5083","leitao",1,0,"London, UK","True","facebook"
"5084","leiteszeke",1,0,"[]","False","facebook"
"5085","lekac",1,0,"","False","facebook"
"5086","lekterable",3,0,"Prague","False","facebook"
"5087","lelandrichardson",9,0.000109636932073567,"San Francisco, CA","False","facebook"
"5088","lematt1991",1,0,"New York, NY","False","facebook"
"5089","lemonlaug",4,0,"San Francisco","False","facebook"
"5090","lena-kashtelyan",231,0,"Brooklyn, NY","False","facebook"
"5091","lencioni",13,0.000128269153072727,"55057","False","facebook"
"5092","leo",4,0.00033572555895353,"Berlin","False","facebook"
"5093","leoasis",3,0,"London, UK","False","facebook"
"5094","leobalter",1,0,"Bay Area, CA","False","facebook"
"5095","leochuan",2,0,"HangZhou,ZheJiang,China","False","facebook"
"5096","leoigel",1,0,"Israel","False","facebook"
"5097","leolchat",3,0,"[]","False","facebook"
"5098","leoleovich",1,0,"Dublin","False","facebook"
"5099","leonardodino",1,0,"London","False","facebook"
"5100","leontiadis",4,0,"","False","facebook"
"5101","leotm",2,0.000200319018162437,"London","False","facebook"
"5102","lepouya",42,0.000260732071380691,"","True","facebook"
"5103","leroux",3,0,"[]","False","facebook"
"5104","let-def",89,0,"Earth","False","facebook"
"5105","leverdeterre",33,0.000161939825485458,"Paris, FRANCE","False","facebook"
"5106","levi",1,0,"[]","False","facebook"
"5107","levibuzolic",8,0.000490787472132241,"Melbourne, Australia","False","facebook"
"5108","levigroker",27,0,"[]","False","facebook"
"5109","leviwilson",9,0,"[]","False","facebook"
"5110","levrik",3,0,"[]","False","facebook"
"5111","lewislbr",4,0,"[]","False","facebook"
"5112","lex111",324,0.00033572555895353,"GitHub Jail","False","facebook"
"5113","lexidor",11,0,"[]","False","facebook"
"5114","lexrus",122,0,"Shanghai, China","False","facebook"
"5115","lexs",130,0.00843029757427508,"London","True","facebook"
"5116","lfantone",1,0,"Stockholm, Sweden","False","facebook"
"5117","lfkwtz",1,0,"Austin, TX","False","facebook"
"5118","lftan",111,0,"","False","facebook"
"5119","lgalanis",10,0.000221294643549811,"","False","facebook"
"5120","lgarrison",1,0,"[]","False","facebook"
"5121","lge",1,0,"[]","False","facebook"
"5122","lgeiger",1,0,"London","False","facebook"
"5123","lgordey",1,0,"Russia, Moscow","False","facebook"
"5124","lgxgfb",2,0,"[]","False","facebook"
"5125","lhl2617",119,0,"[]","False","facebook"
"5126","lhuang04",1,0,"[]","False","facebook"
"5127","li-roy",1,0,"","False","facebook"
"5128","liamross",1,0,"Vancouver, British Columbia, Canada","False","facebook"
"5129","liamse",2,0,"[]","False","facebook"
"5130","liamsheppard",9,0,"[]","False","facebook"
"5131","liangshi7",5,0,"","False","facebook"
"5132","lic9",6,0,"[]","False","facebook"
"5133","liesislukas",1,0,"Lithuania","False","facebook"
"5134","liewegas",19,0,"Madison, WI","False","facebook"
"5135","lifeiscontent",2,0,"[]","False","facebook"
"5136","ligfx",5,0,"[]","False","facebook"
"5137","lightmark",122,0.000221294643549811,"San Francisco Bay Area","False","facebook"
"5138","lightsofapollo",2,0,"Boulder, CO","False","facebook"
"5139","lijy91",4,0,"Shenzhen, China","False","facebook"
"5140","likema",1,0,"[]","False","facebook"
"5141","limonte",1,0,"Finland (UTC+3)","False","facebook"
"5142","linbaiye",3,0,"[]","False","facebook"
"5143","lingbin",2,0,"Beijing","False","facebook"
"5144","linhbui",27,2.47348271829823e-05,"San Francisco, CA","True","facebook"
"5145","linshunghuang",2,0,"[]","False","facebook"
"5146","lintaocui",2,0,"","False","facebook"
"5147","linusw",58,0,"Sweden","False","facebook"
"5148","linux-jedi",4,0,"Los Angeles","False","facebook"
"5149","linuxfood",2,0,"[]","False","facebook"
"5150","linzhp",19,0,"[]","False","facebook"
"5151","lionell",57,0,"[]","False","facebook"
"5152","lipis",3,0,"[]","False","facebook"
"5153","lirank-fb",1,0,"","False","facebook"
"5154","lirbank",2,0,"San Francisco Bay Area","False","facebook"
"5155","lisongx",1,0,"London","False","facebook"
"5156","lispsil",1,0,"","False","facebook"
"5157","lisroach",2,0,"[]","False","facebook"
"5158","lithin",1,0,"London","False","facebook"
"5159","liuben10",1,0,"San Francisco","False","facebook"
"5160","liubinyi",1,0,"United States","False","facebook"
"5161","liuchang0812",6,0,"Shenzhen","False","facebook"
"5162","liukai",107,0,"San Francisco, CA","False","facebook"
"5163","liuliu",1,0,"Los Angeles","False","facebook"
"5164","liutikas",2,0,"[]","False","facebook"
"5165","liuyang-li",10,0,"[]","False","facebook"
"5166","liuzhiyi1992",1,0,"Guangzhou, China","False","facebook"
"5167","lixiaoyan",5,5.27337376041798e-05,"Beijing, China","False","facebook"
"5168","liyu1981",2,3.87477394265558e-06,"Sydney","True","facebook"
"5169","lizlecrone",1,0,"[]","False","facebook"
"5170","ljharb",21,0.000124666933551196,"Hillsborough, CA","False","facebook"
"5171","ljosberinn",1,0,"[]","False","facebook"
"5172","ljw1004",1044,8.55952910926719e-05,"Seattle","False","facebook"
"5173","lkotula",105,0,"","False","facebook"
"5174","lkshminarayanan",132,0,"Bangalore","False","facebook"
"5175","lkundrak",5,0,"[]","False","facebook"
"5176","llelf",2,0,"[]","False","facebook"
"5177","lly-zero-one",29,0,"Menlo Park","True","facebook"
"5178","lmajewski",21,0,"Poland","False","facebook"
"5179","lmirosevic",16,0,"[]","False","facebook"
"5180","lnicco",409,0.000224194611127297,"San Francisco - CA","True","facebook"
"5181","localheinz",57,0,"[]","False","facebook"
"5182","lockround",1,0,"[]","False","facebook"
"5183","lodhaayush",4,0,"[]","False","facebook"
"5184","logandaniels",40,0.000136721633188232,"Seattle, WA","False","facebook"
"5185","loganfsmyth",6,4.90038038169246e-05,"Oakland, CA","False","facebook"
"5186","loganj",1,0,"[]","False","facebook"
"5187","loganwendholt",1,0,"","False","facebook"
"5188","logicxd",1,0,"San Francisco Bay Area","False","facebook"
"5189","logikal",1,0,"Anaheim, CA","False","facebook"
"5190","logmein-joseph-tseng",1,0,"[]","False","facebook"
"5191","lokeshgupta0912",2,6.09006144040068e-05,"","False","facebook"
"5192","lokeshvutla",461,0,"Bangalore","False","facebook"
"5193","lolotp",2,2.78376785030751e-05,"","False","facebook"
"5194","londonoliver",2,0,"[]","False","facebook"
"5195","longdivision",1,0,"United Kingdom","False","facebook"
"5196","longility",3,0.00018870570190117,"Houston, Texas","False","facebook"
"5197","longinoa",62,0.000366006284903549,"","True","facebook"
"5198","longlho",1,0,"New York, NY","False","facebook"
"5199","longv2go",46,0,"Beijing, China","False","facebook"
"5200","lookageek",1,0,"[]","False","facebook"
"5201","lookfirst",1,0,"[]","False","facebook"
"5202","lopekpl",1,0,"","False","facebook"
"5203","lopezator",1,0,"[]","False","facebook"
"5204","lordcodes",1,0,"[]","False","facebook"
"5205","lorenzorapetti",4,0,"Rome, Italy","False","facebook"
"5206","lostatseajoshua",2,0,"[]","False","facebook"
"5207","losvald",208,8.55952910926719e-05,"","False","facebook"
"5208","loufranco",1,0,"Sarasota, FL","False","facebook"
"5209","louis993546",1,0,"Berlin, Germany","False","facebook"
"5210","louisguitton",1,0,"Berlin","False","facebook"
"5211","louispotok",2,0,"","False","facebook"
"5212","louiszuckerman",1,0,"[]","False","facebook"
"5213","love-fay",1,0,"[]","False","facebook"
"5214","loverszhaokai",3,0,"[]","False","facebook"
"5215","lovrop",12,0.000135706735089439,"","False","facebook"
"5216","lowinger42",1,0,"Piteå, Sweden","False","facebook"
"5217","lowjoel",14,0,"[]","False","facebook"
"5218","lpalmes",3,0,"[]","False","facebook"
"5219","lpathy",14,0,"[]","False","facebook"
"5220","lperkov",20,0,"Croatia","False","facebook"
"5221","lpil",1,0,"London, UK","False","facebook"
"5222","lpmi-13",2,0.00120953881956203,"[]","False","facebook"
"5223","lpy",1,0,"Shantou, Guangdong, China","False","facebook"
"5224","lqi",2,0,"Houston, TX","False","facebook"
"5225","lrnwytt",1,0,"[]","False","facebook"
"5226","lrowe",6,0,"[]","False","facebook"
"5227","lsaddan",2,0,"[]","False","facebook"
"5228","lshepard",1,0,"[]","False","facebook"
"5229","lshgdut",1,0,"shenzhen China","False","facebook"
"5230","lsiudut",10,0,"[]","False","facebook"
"5231","lstkz",3,0,"Poland","False","facebook"
"5232","ltamasi",136,0,"","False","facebook"
"5233","ltangvald",197,0.000102832630436096,"","False","facebook"
"5234","ltfschoen",1,0,"[]","False","facebook"
"5235","lth",220,0.00119317873014108,"","False","facebook"
"5236","luancurti",1,0,"São Paulo, Brazil","False","facebook"
"5237","luben",1,0,"[]","False","facebook"
"5238","lucaceresoli",45,0,"Bergamo, Italy","False","facebook"
"5239","lucamaraschi",1,0,"Vancouver, BC","False","facebook"
"5240","lucasbento",30,0.00052597033020113,"Netherlands","False","facebook"
"5241","lucasecdb",11,0.000119551095863793,"[]","False","facebook"
"5242","lucasfcosta",2,0,"London, United Kingdom","False","facebook"
"5243","lucasmedeirosleite",39,0,"Waterloo, Canada","False","facebook"
"5244","lucasqiu",1,0,"Atherton, CA","False","facebook"
"5245","lucasr",475,6.75388056072505e-06,"London, UK","True","facebook"
"5246","lucasrcosta",2,3.87477394265558e-06,"Vancouver, Canada","False","facebook"
"5247","lucdion",1,0,"[]","False","facebook"
"5248","luciang",124,0.000279030268914745,"","False","facebook"
"5249","luftywiranda13",2,0,"[]","False","facebook"
"5250","luiscruz",1,0,"Delft, The Netherlands","False","facebook"
"5251","luisfcofv",12,0,"[]","False","facebook"
"5252","luism3861",32,0.000158160371216097,"Guadalajara, Mexico","False","facebook"
"5253","luite",15,1.72658503906034e-05,"","False","facebook"
"5254","luizribeiro",1,0,"Greater New York City Area","True","facebook"
"5255","luka1995",31,0,"Slovenia","False","facebook"
"5256","lukasauer",64,0,"","False","facebook"
"5257","lukaspiatkowski",368,0.00173447215051236,"","False","facebook"
"5258","lukasreichart",1,0,"[]","False","facebook"
"5259","lukaswelte",1,0,"","False","facebook"
"5260","lukeapage",3,0,"Copenhagen, Denmark","False","facebook"
"5261","lukecollier",1,0,"Manchester","False","facebook"
"5262","lukemaurer",4,0,"[]","False","facebook"
"5263","lukeredpath",24,0,"[]","False","facebook"
"5264","lukeweber",1,0,"[]","False","facebook"
"5265","lukkm",64,0.000139398679131955,"London","False","facebook"
"5266","lukyanovx",2,0,"[]","False","facebook"
"5267","lukyth",6,0.00032222926078108,"[]","False","facebook"
"5268","luluonet",4,0,"[]","False","facebook"
"5269","lunaleaps",49,0,"","False","facebook"
"5270","lunaruan",33,0.00023158783227823,"","False","facebook"
"5271","luqun",44,8.17159079878821e-05,"","False","facebook"
"5272","lustyj",14,0,"[]","False","facebook"
"5273","lwasyl",2,0,"Wrocław, Poland","False","facebook"
"5274","lwhsu",4,0,"[]","False","facebook"
"5275","lwinkyawmyat",4,0,"[]","False","facebook"
"5276","lxfind",15,3.19533667382091e-05,"Menlo Park, CA","True","facebook"
"5277","lyip1992",10,0.000169329626193754,"Cupertino","False","facebook"
"5278","lykahb",2,0,"[]","False","facebook"
"5279","lyleunderwood",3,0,"Sacramento, CA","False","facebook"
"5280","lynxeye-dev",38,0,"","False","facebook"
"5281","lyy1106",46,0,"[]","False","facebook"
